"","siderite","FeS","Viv","CaCO3","Apatite","MnCO3"
"384",0.0658512573717822,140.904571847429,104.269432209209,0.271858180715571,1484.708613655,0.0440023278465744
"385",0.0650084375898523,138.645618962497,102.096164711081,0.268699768383983,1479.16563797283,0.0440152245273187
"386",0.0642030732193354,136.495239895649,100.016854233179,0.26562330917137,1473.66118943294,0.0440367960241857
"387",0.0634079611007065,134.385666710809,97.9885677677515,0.2625942016746,1468.22076211645,0.0440613379277126
"388",0.0625624215028649,132.169143352076,95.9197303787423,0.259542000960902,1462.89570120812,0.0440767965167057
"389",0.0617839056210813,130.132193254026,93.9847347673943,0.256606055556854,1457.58121565668,0.0441067123374274
"390",0.0610340106597926,128.179503257552,92.1242773971464,0.253736341083171,1452.31424986871,0.0441427512094031
"391",0.0602346401746591,126.121915876849,90.2230437682463,0.250842222624417,1447.16204412585,0.0441689991154868
"392",0.0594769835316391,124.179760190935,88.4137470130253,0.248028362587679,1442.04663357678,0.0442036858870626
"393",0.0587388211957176,122.29899449825,86.6623285477781,0.245271682480951,1436.98465162409,0.0442428528581378
"394",0.0580023902844952,120.436081879132,84.9423694589112,0.242546819017428,1431.99477562271,0.0442819256772664
"395",0.0572929697639761,118.651037963612,83.2888593177279,0.239883337833239,1427.05559145206,0.0443262812732692
"396",0.0565699787493061,116.846740505628,81.6434907131643,0.237233153226921,1422.20219816315,0.0443670207647331
"397",0.0558585404470789,115.083012562745,80.0408967580168,0.234627754172793,1417.41082622032,0.0444099214057494
"398",0.0551500056034044,113.339115907582,78.4681434154614,0.232055950270275,1412.68780278821,0.0444528758143976
"399",0.0544843878618557,111.708753239424,76.9793198282364,0.229563682710645,1407.99848973118,0.0445047699764169
"400",0.053755606773291,109.942437572957,75.4282108685127,0.22702565260716,1403.43131436254,0.0445412792783012
"401",0.0531312158289716,108.432863641969,74.0423887052577,0.224639290607091,1398.84144915626,0.0446011019615578
"402",0.0524395454242758,106.777534888596,72.5880389693923,0.222199304944432,1394.3750028315,0.0446437512875557
"403",0.0517932464279176,105.233447573871,71.2164122048747,0.219841661874423,1389.93209522631,0.0446962941218415
"404",0.0511535305907667,103.716249125349,69.8743715774157,0.21752036196326,1385.54307058742,0.0447496197859464
"405",0.0505335675489578,102.255870816464,68.5785887410318,0.215248741453661,1381.19658569929,0.0448065404171451
"406",0.049904710648281,100.785915449979,67.2904987060355,0.212995175734343,1376.91346134616,0.0448605230851747
"407",0.0492654248251544,99.3028182464189,66.0078115137298,0.210755623776801,1372.69330226268,0.0449106363321771
"408",0.0487287888840863,98.0656605515633,64.8761742876334,0.208662600247032,1368.43950499095,0.0449853815995322
"409",0.0480984987737181,96.6235818621384,63.6409764987657,0.206487361267659,1364.31423373034,0.0450356751288432
"410",0.047500038884818,95.2642617657565,62.4638938954231,0.204375834578612,1360.21066871805,0.0450929471729025
"411",0.0469288356104528,93.9766133393764,61.3377940541191,0.202321650379323,1356.12948603827,0.045156087529809
"412",0.0463465993340266,92.6730465628523,60.2134894977206,0.200278183458054,1352.10051128466,0.0452148174806909
"413",0.0458066408193941,91.4743320407099,59.1574513742059,0.1983074261806,1348.0773380348,0.0452832144712395
"414",0.0452527702505567,90.2524401849524,58.0985052398266,0.19634350448307,1344.10444146129,0.0453464292111058
"415",0.0446901338386042,89.0190896786108,57.0428075017653,0.194394074394149,1340.17355184951,0.0454061371461683
"416",0.044144420380449,87.8321621393297,56.0216456816928,0.19248860523848,1336.25914389445,0.0454692738855684
"417",0.0436213264539548,86.7040653868844,55.0412646425513,0.190631449261711,1332.35327273601,0.0455370814497435
"418",0.0431301570175492,85.6551659234107,54.1120469681089,0.188833388208311,1328.44550806407,0.0456123897907258
"419",0.0425961062143409,84.5171640144687,53.142658229117,0.187007186079969,1324.5938888822,0.0456741823143841
"420",0.0420736356908632,83.4121616143575,52.1989294697687,0.185215490190581,1320.74869093227,0.0457375851366887
"421",0.0416242281548389,82.4775873680845,51.353632658268,0.1835296941921,1316.85466943698,0.0458205839276973
"422",0.0410995191576188,81.3811950760437,50.428748337637,0.18177900790393,1313.02704308428,0.0458807417356231
"423",0.0406207225909517,80.3939001354364,49.5684313585203,0.180103508965464,1309.16164418982,0.0459531774807046
"424",0.0401197089267245,79.3635747282948,48.6913201342179,0.178424980056698,1305.30465367882,0.046018206056785
"425",0.0396578306477754,78.4266327021909,47.869170980215,0.176810622811748,1301.40110293347,0.0460932288670656
"426",0.039206444045895,77.5188436712653,47.0675539426079,0.175227877431051,1297.46688225975,0.0461700749072458
"427",0.038756115190157,76.6191523127167,46.2749629541796,0.173667991635275,1293.50245156006,0.0462465515750709
"428",0.0383186944615269,75.7537632658051,45.5047111451584,0.172143940836853,1289.49277740919,0.0463262278907134
"429",0.0378603757199788,74.8474114902098,44.7175877689713,0.170616822630642,1285.45779909203,0.0463987093477495
"430",0.0374220422766136,73.9906538155851,43.960103714855,0.169132140189121,1281.35764331214,0.0464763907962521
"431",0.0369914514553486,73.1557624548135,43.2176778234502,0.167676666238772,1277.19321725136,0.0465558666408837
"432",0.0365790316913513,72.3661498563794,42.5015438997591,0.166263910566644,1272.94839396831,0.0466410843157184
"433",0.0361633234527623,71.5740545075179,41.7871854008595,0.164867887476291,1268.63492185662,0.0467249457069439
"434",0.0357480565026732,70.7876333861629,41.0785465642489,0.163493310324888,1264.24333897589,0.0468088580959109
"435",0.0353457249421121,70.0344521026259,40.3891891400669,0.162154759789791,1259.75735007751,0.0468971479845989
"436",0.0349524418896846,69.3057194851863,39.7144075789792,0.160847867550899,1255.17492064603,0.0469887733385409
"437",0.0345559279592511,68.5737750390035,39.0405154067092,0.159556945325676,1250.50248836284,0.0470793033425469
"438",0.0341850633590145,67.9023561748129,38.398862662806,0.158313964353393,1245.7149429401,0.047178340568471
"439",0.0338311754487557,67.2719869172742,37.7795823752645,0.157108649362496,1240.81878777848,0.0472831328137264
"440",0.0334540051932686,66.5932577867875,37.1391806618777,0.155894947548661,1235.84611726375,0.0473799262404421
"441",0.033099163262561,65.9669459006998,36.5267845117159,0.154723635619873,1230.76272631747,0.0474841718767042
"442",0.0327237624004912,65.2978769670164,35.8964441741548,0.153547324536587,1225.6005123011,0.0475814902909619
"443",0.032382008113332,64.7059504610188,35.3056506046164,0.152427957760673,1220.31762750257,0.0476911744955626
"444",0.0320435952245717,64.1236686489398,34.7220514028456,0.151330515128115,1214.93932688138,0.0478026052869979
"445",0.031698936500452,63.5295355371981,34.1356989024093,0.150243496305769,1209.47569509043,0.04791224971979
"446",0.0313696060960038,62.9711506286056,33.5690909047026,0.149190408925753,1203.91283548901,0.0480277210288429
